payout_id,challenge_id,user_id,payout_requested_at,payout_amount_usd,payout_status
PO000007,CH000044,USR000270,2025-03-01,439.98,approved
PO000006,CH000032,USR000209,2025-03-05,2196.87,approved
PO000011,CH000083,USR000510,2025-03-05,707.81,approved
PO000012,CH000084,USR000517,2025-03-08,774.13,approved
PO000021,CH000172,USR001070,2025-03-08,718.36,approved
PO000024,CH000191,USR001164,2025-03-08,95.11,approved
PO000010,CH000055,USR000320,2025-03-09,1260.23,approved
PO000031,CH000220,USR001337,2025-03-12,2318.58,approved
PO000027,CH000209,USR001250,2025-03-15,462.37,approved
PO000022,CH000172,USR001070,2025-03-16,606.27,approved
PO000028,CH000210,USR001252,2025-03-19,134.12,under_review
PO000018,CH000159,USR001014,2025-03-24,2434.9,approved
PO000004,CH000031,USR000199,2025-03-25,1549.79,approved
PO000042,CH000310,USR001905,2025-03-25,3027.86,approved
PO000047,CH000338,USR002047,2025-03-25,2248.7,approved
PO000025,CH000195,USR001193,2025-03-26,1467.14,under_review
PO000013,CH000104,USR000665,2025-03-28,746.71,under_review
PO000033,CH000253,USR001499,2025-03-29,1960.18,under_review
PO000035,CH000261,USR001543,2025-03-29,2898.25,approved
PO000001,CH000006,USR000044,2025-03-31,3476.29,approved
PO000008,CH000047,USR000283,2025-03-31,1256.68,approved
PO000032,CH000242,USR001445,2025-03-31,4650.4,approved
PO000017,CH000156,USR000987,2025-04-01,303.36,approved
PO000037,CH000265,USR001572,2025-04-03,3338.81,rejected
PO000036,CH000264,USR001561,2025-04-04,2335.88,approved
PO000046,CH000336,USR002026,2025-04-04,1484.15,under_review
PO000043,CH000323,USR001987,2025-04-06,690.07,approved
PO000003,CH000019,USR000134,2025-04-07,910.35,approved
PO000048,CH000339,USR002055,2025-04-07,148.52,approved
PO000023,CH000181,USR001115,2025-04-08,1271.53,approved
PO000030,CH000219,USR001325,2025-04-08,3491.87,approved
PO000029,CH000212,USR001270,2025-04-09,1140.3,approved
PO000034,CH000253,USR001499,2025-04-09,2041.62,approved
PO000009,CH000047,USR000283,2025-04-10,963.13,approved
PO000057,CH000451,USR002980,2025-04-10,455.15,approved
PO000049,CH000353,USR002169,2025-04-11,969.42,approved
PO000051,CH000380,USR002389,2025-04-11,380.22,approved
PO000056,CH000448,USR002960,2025-04-14,657.58,under_review
PO000002,CH000006,USR000044,2025-04-15,2610.48,rejected
PO000050,CH000366,USR002258,2025-04-15,640.06,approved
PO000041,CH000282,USR001699,2025-04-16,2447.2,approved
PO000015,CH000118,USR000771,2025-04-18,1089.58,approved
PO000044,CH000330,USR002013,2025-04-18,2139.52,approved
PO000052,CH000387,USR002451,2025-04-20,769.56,under_review
PO000038,CH000265,USR001572,2025-04-22,2868.58,under_review
PO000039,CH000269,USR001595,2025-04-23,340.62,approved
PO000005,CH000031,USR000199,2025-04-24,1878.4,approved
PO000045,CH000334,USR002015,2025-04-25,1057.38,approved
PO000026,CH000206,USR001239,2025-04-26,3839.0,approved
PO000019,CH000159,USR001014,2025-05-01,2301.58,approved
PO000065,CH000490,USR003221,2025-05-02,1279.81,approved
PO000068,CH000499,USR003292,2025-05-02,352.56,approved
PO000053,CH000396,USR002575,2025-05-03,3466.98,under_review
PO000075,CH000544,USR003596,2025-05-03,1539.27,approved
PO000055,CH000425,USR002793,2025-05-04,1411.71,approved
PO000062,CH000461,USR003062,2025-05-05,1129.32,approved
PO000020,CH000170,USR001061,2025-05-06,311.31,approved
PO000070,CH000503,USR003308,2025-05-06,1273.22,approved
PO000082,CH000596,USR003865,2025-05-06,137.53,rejected
PO000058,CH000453,USR002989,2025-05-09,1217.62,under_review
PO000087,CH000675,USR004487,2025-05-09,631.31,approved
PO000054,CH000397,USR002582,2025-05-11,3999.06,approved
PO000064,CH000483,USR003179,2025-05-11,459.11,under_review
PO000073,CH000518,USR003435,2025-05-14,1247.98,approved
PO000016,CH000136,USR000848,2025-05-15,1169.03,approved
PO000060,CH000458,USR003039,2025-05-15,107.71,approved
PO000088,CH000683,USR004513,2025-05-17,444.2,approved
PO000067,CH000495,USR003241,2025-05-19,2960.52,approved
PO000077,CH000552,USR003645,2025-05-21,902.86,approved
PO000084,CH000634,USR004130,2025-05-21,535.29,approved
PO000066,CH000493,USR003236,2025-05-22,569.78,approved
PO000063,CH000482,USR003175,2025-05-23,2477.49,approved
PO000071,CH000507,USR003343,2025-05-24,2621.86,approved
PO000069,CH000499,USR003292,2025-05-25,448.2,approved
PO000080,CH000558,USR003700,2025-05-25,1932.86,approved
PO000014,CH000116,USR000763,2025-05-26,646.08,approved
PO000072,CH000517,USR003432,2025-05-26,251.0,approved
PO000083,CH000624,USR003995,2025-05-26,719.08,under_review
PO000061,CH000458,USR003039,2025-05-27,88.74,approved
PO000116,CH000815,USR005565,2025-05-29,577.76,approved
PO000040,CH000275,USR001629,2025-06-01,1149.45,approved
PO000076,CH000544,USR003596,2025-06-02,2499.16,approved
PO000093,CH000709,USR004665,2025-06-02,932.24,under_review
PO000098,CH000722,USR004758,2025-06-02,485.22,approved
PO000099,CH000726,USR004787,2025-06-02,1317.49,approved
PO000100,CH000728,USR004820,2025-06-02,1152.32,approved
PO000111,CH000796,USR005430,2025-06-03,1483.0,approved
PO000059,CH000453,USR002989,2025-06-07,1199.87,under_review
PO000102,CH000735,USR004902,2025-06-08,1098.97,rejected
PO000092,CH000699,USR004586,2025-06-09,106.67,approved
PO000095,CH000720,USR004742,2025-06-09,1827.07,approved
PO000135,CH000918,USR006281,2025-06-09,772.25,approved
PO000078,CH000554,USR003662,2025-06-10,4115.74,under_review
PO000106,CH000771,USR005144,2025-06-11,108.23,approved
PO000074,CH000538,USR003568,2025-06-12,2736.78,approved
PO000081,CH000558,USR003700,2025-06-14,1690.14,approved
PO000107,CH000781,USR005244,2025-06-14,642.84,approved
PO000110,CH000795,USR005428,2025-06-16,1037.09,approved
PO000079,CH000554,USR003662,2025-06-18,3372.02,approved
PO000094,CH000715,USR004717,2025-06-18,1163.85,under_review
PO000122,CH000868,USR005899,2025-06-19,649.02,approved
PO000085,CH000663,USR004360,2025-06-20,74.05,under_review
PO000108,CH000794,USR005421,2025-06-23,1609.42,approved
PO000124,CH000870,USR005908,2025-06-23,1120.07,approved
PO000126,CH000894,USR006082,2025-06-24,1348.74,approved
PO000103,CH000754,USR005003,2025-06-25,2658.42,approved
PO000104,CH000759,USR005043,2025-06-25,3978.52,rejected
PO000120,CH000837,USR005683,2025-06-25,2615.11,approved
PO000115,CH000814,USR005560,2025-06-26,622.47,rejected
PO000117,CH000821,USR005606,2025-06-27,1158.59,approved
PO000127,CH000894,USR006082,2025-06-27,1377.38,approved
PO000151,CH001003,USR006769,2025-06-28,878.63,approved
PO000090,CH000690,USR004545,2025-06-29,2860.2,under_review
PO000128,CH000898,USR006117,2025-06-29,1326.66,approved
PO000136,CH000941,USR006419,2025-06-30,1050.57,approved
PO000096,CH000720,USR004742,2025-07-01,2231.46,approved
PO000112,CH000802,USR005460,2025-07-01,1915.02,approved
PO000118,CH000827,USR005642,2025-07-02,1560.87,approved
PO000119,CH000836,USR005676,2025-07-03,236.86,approved
PO000134,CH000910,USR006214,2025-07-03,4731.24,rejected
PO000130,CH000908,USR006189,2025-07-04,1836.56,approved
PO000140,CH000947,USR006467,2025-07-05,2230.42,approved
PO000125,CH000876,USR005936,2025-07-06,1162.44,approved
PO000089,CH000685,USR004518,2025-07-07,4247.27,approved
PO000101,CH000728,USR004820,2025-07-07,2361.27,under_review
PO000141,CH000948,USR006469,2025-07-09,2291.91,approved
PO000121,CH000850,USR005765,2025-07-10,1023.34,approved
PO000113,CH000809,USR005537,2025-07-12,4568.5,approved
PO000129,CH000899,USR006121,2025-07-12,1904.65,approved
PO000152,CH001006,USR006794,2025-07-12,797.73,approved
PO000147,CH000997,USR006722,2025-07-13,2850.35,approved
PO000138,CH000943,USR006447,2025-07-14,3451.22,approved
PO000097,CH000720,USR004742,2025-07-15,2507.31,approved
PO000164,CH001103,USR007536,2025-07-15,730.64,under_review
PO000159,CH001086,USR007399,2025-07-16,127.58,under_review
PO000086,CH000663,USR004360,2025-07-18,67.55,approved
PO000160,CH001092,USR007446,2025-07-18,794.84,approved
PO000131,CH000908,USR006189,2025-07-19,2135.63,approved
PO000133,CH000909,USR006202,2025-07-19,2703.27,approved
PO000155,CH001040,USR007030,2025-07-19,1035.84,approved
PO000154,CH001022,USR006941,2025-07-21,1357.3,approved
PO000165,CH001103,USR007536,2025-07-21,769.27,under_review
PO000137,CH000941,USR006419,2025-07-22,1298.84,under_review
PO000109,CH000794,USR005421,2025-07-23,1561.49,approved
PO000123,CH000868,USR005899,2025-07-23,737.31,approved
PO000132,CH000908,USR006189,2025-07-23,1914.22,under_review
PO000143,CH000956,USR006502,2025-07-23,1878.01,approved
PO000114,CH000813,USR005558,2025-07-24,1029.38,approved
PO000145,CH000969,USR006558,2025-07-25,2029.47,approved
PO000166,CH001113,USR007581,2025-07-27,2030.06,under_review
PO000153,CH001012,USR006862,2025-07-28,686.28,approved
PO000161,CH001093,USR007450,2025-07-28,1188.88,approved
PO000105,CH000759,USR005043,2025-07-29,2993.35,under_review
PO000170,CH001156,USR008028,2025-07-29,1306.03,approved
PO000175,CH001170,USR008109,2025-07-30,939.26,approved
PO000142,CH000950,USR006472,2025-08-01,2205.69,approved
PO000149,CH001001,USR006764,2025-08-01,4851.96,approved
PO000187,CH001259,USR008756,2025-08-01,3464.8,approved
PO000091,CH000690,USR004545,2025-08-04,767.18,approved
PO000139,CH000943,USR006447,2025-08-04,2377.45,approved
PO000148,CH000997,USR006722,2025-08-06,1691.99,under_review
PO000150,CH001001,USR006764,2025-08-07,4253.98,approved
PO000169,CH001140,USR007916,2025-08-07,159.99,approved
PO000167,CH001123,USR007709,2025-08-08,2800.39,approved
PO000189,CH001271,USR008857,2025-08-08,724.87,approved
PO000144,CH000956,USR006502,2025-08-09,1562.51,approved
PO000146,CH000978,USR006619,2025-08-09,4697.58,approved
PO000177,CH001183,USR008199,2025-08-09,467.61,approved
PO000176,CH001170,USR008109,2025-08-12,825.0,approved
PO000179,CH001194,USR008263,2025-08-12,105.32,approved
PO000181,CH001201,USR008338,2025-08-14,1355.32,under_review
PO000191,CH001279,USR008897,2025-08-14,1559.97,approved
PO000171,CH001156,USR008028,2025-08-15,829.38,approved
PO000162,CH001096,USR007476,2025-08-16,6145.89,rejected
PO000184,CH001213,USR008398,2025-08-18,800.73,approved
PO000156,CH001080,USR007329,2025-08-19,855.43,approved
PO000192,CH001281,USR008901,2025-08-20,2903.48,rejected
PO000186,CH001240,USR008632,2025-08-22,1827.45,approved
PO000173,CH001157,USR008030,2025-08-26,2862.68,approved
PO000196,CH001333,USR009206,2025-08-26,570.42,approved
PO000168,CH001123,USR007709,2025-08-27,2475.7,rejected
PO000178,CH001183,USR008199,2025-08-30,295.72,approved
PO000188,CH001267,USR008794,2025-08-30,458.36,approved
PO000157,CH001080,USR007329,2025-08-31,1181.34,approved
PO000200,CH001355,USR009316,2025-09-04,605.83,approved
PO000204,CH001366,USR009405,2025-09-07,429.5,approved
PO000172,CH001156,USR008028,2025-09-08,1090.06,approved
PO000198,CH001339,USR009246,2025-09-08,2038.38,approved
PO000182,CH001201,USR008338,2025-09-09,1467.69,approved
PO000193,CH001283,USR008903,2025-09-09,717.93,approved
PO000185,CH001232,USR008525,2025-09-11,2506.84,approved
PO000243,CH001616,USR011119,2025-09-13,693.72,approved
PO000180,CH001194,USR008263,2025-09-14,119.57,rejected
PO000194,CH001285,USR008912,2025-09-14,2745.94,approved
PO000199,CH001354,USR009314,2025-09-14,3195.65,approved
PO000219,CH001490,USR010191,2025-09-14,484.15,approved
PO000210,CH001436,USR009853,2025-09-16,692.49,approved
PO000158,CH001083,USR007364,2025-09-17,814.73,approved
PO000163,CH001096,USR007476,2025-09-17,3818.58,approved
PO000183,CH001201,USR008338,2025-09-19,1265.34,approved
PO000190,CH001275,USR008878,2025-09-21,118.81,approved
PO000201,CH001357,USR009331,2025-09-21,2777.09,approved
PO000206,CH001381,USR009487,2025-09-21,4155.47,approved
PO000226,CH001526,USR010503,2025-09-21,1773.45,approved
PO000209,CH001399,USR009613,2025-09-22,1898.25,approved
PO000205,CH001377,USR009458,2025-09-23,400.14,approved
PO000218,CH001471,USR010058,2025-09-24,909.31,approved
PO000239,CH001588,USR010874,2025-09-24,2203.2,approved
PO000240,CH001588,USR010874,2025-09-25,2389.85,approved
PO000224,CH001525,USR010489,2025-09-26,745.61,approved
PO000214,CH001455,USR009967,2025-09-28,1037.21,approved
PO000215,CH001463,USR009998,2025-09-30,2423.1,approved
PO000195,CH001325,USR009152,2025-10-01,2402.99,approved
PO000197,CH001338,USR009237,2025-10-03,825.94,rejected
PO000211,CH001436,USR009853,2025-10-04,816.66,approved
PO000222,CH001522,USR010419,2025-10-05,1681.09,approved
PO000235,CH001576,USR010783,2025-10-06,1638.52,approved
PO000220,CH001490,USR010191,2025-10-10,1029.22,approved
PO000242,CH001610,USR011070,2025-10-11,79.65,approved
PO000216,CH001465,USR010008,2025-10-12,361.53,approved
PO000207,CH001397,USR009601,2025-10-13,2327.42,approved
PO000251,CH001676,USR011420,2025-10-13,2325.42,under_review
PO000227,CH001537,USR010551,2025-10-16,2055.5,under_review
PO000202,CH001357,USR009331,2025-10-17,3058.58,under_review
PO000228,CH001549,USR010614,2025-10-17,2045.98,approved
PO000229,CH001552,USR010620,2025-10-18,1754.21,approved
PO000174,CH001161,USR008040,2025-10-19,2019.2,approved
PO000223,CH001522,USR010419,2025-10-19,2155.98,approved
PO000225,CH001525,USR010489,2025-10-19,1054.37,approved
PO000295,CH001829,USR012410,2025-10-19,594.39,approved
PO000244,CH001616,USR011119,2025-10-21,749.48,under_review
PO000252,CH001677,USR011421,2025-10-21,1675.66,rejected
PO000259,CH001708,USR011583,2025-10-21,1019.84,approved
PO000250,CH001664,USR011358,2025-10-22,107.59,approved
PO000208,CH001397,USR009601,2025-10-23,3075.68,approved
PO000277,CH001770,USR012048,2025-10-23,3282.55,approved
PO000212,CH001448,USR009932,2025-10-27,1313.37,approved
PO000221,CH001502,USR010256,2025-10-27,2999.21,approved
PO000287,CH001796,USR012222,2025-10-27,962.81,approved
PO000253,CH001677,USR011421,2025-10-29,1776.01,approved
PO000257,CH001694,USR011516,2025-10-29,2388.64,approved
PO000296,CH001834,USR012438,2025-10-29,922.85,approved
PO000284,CH001792,USR012197,2025-10-31,116.39,under_review
PO000231,CH001570,USR010734,2025-11-01,1032.64,under_review
PO000279,CH001779,USR012102,2025-11-01,1522.79,approved
PO000268,CH001744,USR011837,2025-11-02,2120.66,approved
PO000255,CH001691,USR011503,2025-11-03,2492.23,approved
PO000258,CH001696,USR011524,2025-11-03,90.7,approved
PO000271,CH001750,USR011882,2025-11-04,2309.61,approved
PO000217,CH001465,USR010008,2025-11-05,255.11,approved
PO000236,CH001585,USR010857,2025-11-05,4744.41,approved
PO000307,CH001882,USR012810,2025-11-05,300.56,under_review
PO000264,CH001721,USR011690,2025-11-06,402.24,approved
PO000286,CH001794,USR012205,2025-11-07,100.0,approved
PO000288,CH001802,USR012251,2025-11-07,350.4,approved
PO000328,CH002001,USR013549,2025-11-07,431.83,approved
PO000213,CH001448,USR009932,2025-11-08,591.1,approved
PO000241,CH001609,USR011044,2025-11-08,4213.02,rejected
PO000298,CH001839,USR012471,2025-11-08,2573.91,approved
PO000324,CH001976,USR013411,2025-11-09,1135.16,approved
PO000230,CH001565,USR010710,2025-11-10,416.34,approved
PO000291,CH001821,USR012373,2025-11-10,2555.83,under_review
PO000261,CH001716,USR011656,2025-11-11,138.66,approved
PO000262,CH001717,USR011657,2025-11-11,2294.91,approved
PO000265,CH001721,USR011690,2025-11-11,545.53,approved
PO000281,CH001788,USR012165,2025-11-11,2803.93,approved
PO000280,CH001787,USR012162,2025-11-13,651.49,approved
PO000290,CH001819,USR012356,2025-11-13,2297.0,under_review
PO000293,CH001824,USR012383,2025-11-14,608.25,approved
PO000318,CH001950,USR013235,2025-11-16,690.55,approved
PO000325,CH001980,USR013416,2025-11-16,1880.14,approved
PO000233,CH001575,USR010773,2025-11-17,785.29,rejected
PO000313,CH001926,USR013072,2025-11-17,1336.73,under_review
PO000289,CH001802,USR012251,2025-11-19,482.85,approved
PO000260,CH001715,USR011653,2025-11-20,4206.85,approved
PO000203,CH001357,USR009331,2025-11-21,2803.23,approved
PO000232,CH001570,USR010734,2025-11-22,860.17,under_review
PO000247,CH001652,USR011322,2025-11-22,610.1,approved
PO000269,CH001744,USR011837,2025-11-22,2722.15,approved
PO000273,CH001752,USR011898,2025-11-22,812.88,approved
PO000309,CH001921,USR013039,2025-11-23,1787.17,approved
PO000237,CH001585,USR010857,2025-11-24,2949.9,approved
PO000263,CH001717,USR011657,2025-11-24,2662.85,under_review
PO000294,CH001828,USR012409,2025-11-24,1728.32,rejected
PO000270,CH001744,USR011837,2025-11-25,2194.69,approved
PO000292,CH001821,USR012373,2025-11-25,2388.64,approved
PO000302,CH001863,USR012678,2025-11-25,2528.35,approved
PO000319,CH001950,USR013235,2025-11-25,652.74,approved
PO000320,CH001956,USR013280,2025-11-26,2701.03,approved
PO000355,CH002111,USR014306,2025-11-26,912.59,approved
PO000285,CH001792,USR012197,2025-11-27,115.54,approved
PO000316,CH001943,USR013191,2025-11-28,453.04,rejected
PO000254,CH001677,USR011421,2025-11-29,1062.6,under_review
PO000249,CH001657,USR011340,2025-11-30,1270.79,approved
PO000310,CH001921,USR013039,2025-12-02,1605.12,approved
PO000245,CH001644,USR011292,2025-12-04,840.65,approved
PO000331,CH002033,USR013774,2025-12-04,806.73,approved
PO000353,CH002109,USR014291,2025-12-04,123.38,approved
PO000274,CH001755,USR011915,2025-12-05,650.16,approved
PO000297,CH001836,USR012453,2025-12-05,1344.64,approved
PO000300,CH001840,USR012473,2025-12-05,937.64,approved
PO000314,CH001926,USR013072,2025-12-05,1233.34,approved
PO000275,CH001755,USR011915,2025-12-07,595.9,approved
PO000340,CH002072,USR014004,2025-12-07,1427.0,approved
PO000238,CH001585,USR010857,2025-12-08,4933.48,approved
PO000278,CH001776,USR012091,2025-12-08,1114.96,approved
PO000343,CH002082,USR014099,2025-12-08,837.07,approved
PO000256,CH001691,USR011503,2025-12-09,1719.55,approved
PO000272,CH001750,USR011882,2025-12-09,2333.1,approved
PO000308,CH001892,USR012891,2025-12-09,2654.27,approved
PO000312,CH001924,USR013055,2025-12-09,548.84,under_review
PO000317,CH001943,USR013191,2025-12-09,476.37,rejected
PO000304,CH001865,USR012692,2025-12-11,110.26,approved
PO000306,CH001879,USR012793,2025-12-11,2154.19,approved
PO000344,CH002085,USR014129,2025-12-11,1166.5,approved
PO000248,CH001652,USR011322,2025-12-12,408.64,approved
PO000323,CH001959,USR013309,2025-12-12,861.46,approved
PO000266,CH001736,USR011750,2025-12-13,673.18,approved
PO000246,CH001644,USR011292,2025-12-14,610.15,approved
PO000374,CH002218,USR014979,2025-12-14,759.53,approved
PO000299,CH001839,USR012471,2025-12-15,2362.9,under_review
PO000301,CH001859,USR012634,2025-12-15,4194.99,rejected
PO000276,CH001766,USR012035,2025-12-16,523.47,approved
PO000267,CH001738,USR011758,2025-12-17,2220.79,approved
PO000282,CH001788,USR012165,2025-12-17,3230.28,under_review
PO000364,CH002166,USR014632,2025-12-17,400.46,rejected
PO000365,CH002168,USR014655,2025-12-17,371.72,rejected
PO000234,CH001575,USR010773,2025-12-18,1360.96,approved
PO000357,CH002140,USR014487,2025-12-18,280.08,under_review
PO000311,CH001921,USR013039,2025-12-19,1310.92,under_review
PO000338,CH002066,USR013962,2025-12-19,1431.83,approved
PO000359,CH002147,USR014532,2025-12-19,2155.57,approved
PO000330,CH002017,USR013632,2025-12-20,832.58,approved
PO000378,CH002226,USR015039,2025-12-20,762.05,approved
PO000329,CH002014,USR013612,2025-12-21,2222.78,approved
PO000379,CH002255,USR015228,2025-12-21,107.74,approved
PO000368,CH002187,USR014754,2025-12-22,1020.46,approved
PO000341,CH002074,USR014027,2025-12-23,1323.83,approved
PO000315,CH001926,USR013072,2025-12-24,1101.0,approved
PO000322,CH001957,USR013284,2025-12-24,795.58,approved
PO000358,CH002141,USR014490,2025-12-25,2746.45,rejected
PO000393,CH002309,USR015637,2025-12-26,132.43,approved
PO000283,CH001788,USR012165,2025-12-29,2747.42,approved
PO000354,CH002110,USR014296,2025-12-29,2194.99,rejected
PO000369,CH002187,USR014754,2025-12-29,1385.23,approved
PO000370,CH002198,USR014858,2025-12-29,3373.36,approved
PO000387,CH002288,USR015525,2025-12-30,1546.11,approved
PO000366,CH002176,USR014697,2025-12-31,2815.7,approved
PO000396,CH002316,USR015676,2025-12-31,1455.19,approved
PO000360,CH002152,USR014571,2026-01-01,1279.71,approved
PO000400,CH002350,USR015992,2026-01-01,483.45,approved
PO000375,CH002220,USR014996,2026-01-02,3195.44,approved
PO000335,CH002051,USR013890,2026-01-03,4730.75,approved
PO000392,CH002305,USR015611,2026-01-03,598.08,approved
PO000321,CH001956,USR013280,2026-01-04,3807.31,under_review
PO000342,CH002081,USR014092,2026-01-04,482.08,under_review
PO000372,CH002216,USR014975,2026-01-06,1995.23,under_review
PO000326,CH001999,USR013542,2026-01-07,2249.08,approved
PO000367,CH002179,USR014709,2026-01-07,3194.99,under_review
PO000332,CH002033,USR013774,2026-01-08,1497.7,approved
PO000356,CH002116,USR014336,2026-01-09,1920.7,approved
PO000424,CH002446,USR016501,2026-01-10,1433.26,approved
PO000351,CH002107,USR014254,2026-01-12,2352.04,under_review
PO000428,CH002481,USR016690,2026-01-13,523.86,under_review
PO000333,CH002044,USR013844,2026-01-14,3605.0,approved
PO000361,CH002152,USR014571,2026-01-17,914.3,approved
PO000389,CH002292,USR015543,2026-01-17,4029.4,approved
PO000303,CH001864,USR012678,2026-01-19,2499.32,approved
PO000348,CH002095,USR014202,2026-01-19,1475.28,under_review
PO000349,CH002095,USR014202,2026-01-19,2969.84,approved
PO000401,CH002350,USR015992,2026-01-19,443.92,rejected
PO000436,CH002520,USR016885,2026-01-19,569.33,approved
PO000438,CH002529,USR016938,2026-01-19,2338.84,approved
PO000381,CH002271,USR015366,2026-01-20,3645.07,approved
PO000391,CH002296,USR015553,2026-01-20,603.0,approved
PO000352,CH002108,USR014264,2026-01-21,4756.39,approved
PO000425,CH002452,USR016528,2026-01-21,863.87,approved
PO000433,CH002500,USR016803,2026-01-21,87.47,approved
PO000443,CH002559,USR017139,2026-01-22,720.61,approved
PO000430,CH002489,USR016736,2026-01-23,68.4,approved
PO000384,CH002283,USR015487,2026-01-24,666.13,rejected
PO000403,CH002355,USR016012,2026-01-24,1328.73,approved
PO000406,CH002389,USR016210,2026-01-24,1786.24,approved
PO000305,CH001870,USR012713,2026-01-25,2329.87,approved
PO000405,CH002376,USR016148,2026-01-25,3738.71,approved
PO000327,CH001999,USR013542,2026-01-26,2454.45,approved
PO000380,CH002265,USR015328,2026-01-26,2996.19,approved
PO000371,CH002200,USR014874,2026-01-27,623.37,approved
PO000413,CH002426,USR016415,2026-01-28,1990.91,under_review
PO000345,CH002092,USR014184,2026-01-29,474.64,approved
PO000347,CH002094,USR014193,2026-01-29,1238.62,approved
PO000422,CH002434,USR016435,2026-01-29,701.61,approved
PO000423,CH002441,USR016458,2026-01-29,1792.96,approved
PO000434,CH002514,USR016853,2026-01-29,3720.49,approved
PO000339,CH002070,USR013994,2026-01-30,627.34,approved
PO000390,CH002292,USR015543,2026-01-30,3622.91,under_review
PO000398,CH002344,USR015963,2026-01-30,362.13,under_review
PO000376,CH002220,USR014996,2026-01-31,2286.47,approved
PO000388,CH002290,USR015531,2026-01-31,341.24,approved
PO000412,CH002409,USR016278,2026-02-02,1363.65,approved
PO000432,CH002499,USR016797,2026-02-02,2687.9,approved
PO000362,CH002163,USR014609,2026-02-03,724.08,approved
PO000382,CH002277,USR015422,2026-02-04,2634.32,approved
PO000411,CH002408,USR016277,2026-02-04,980.24,approved
PO000336,CH002051,USR013890,2026-02-06,2377.86,approved
PO000373,CH002216,USR014975,2026-02-06,2244.95,approved
PO000439,CH002531,USR016946,2026-02-08,301.0,approved
PO000397,CH002328,USR015755,2026-02-09,2919.1,approved
PO000409,CH002394,USR016222,2026-02-09,474.21,approved
PO000419,CH002433,USR016428,2026-02-10,549.48,approved
PO000426,CH002455,USR016550,2026-02-11,1201.48,approved
PO000440,CH002538,USR016994,2026-02-11,4780.43,under_review
PO000383,CH002277,USR015422,2026-02-12,3683.38,under_review
PO000445,CH002561,USR017152,2026-02-12,868.92,under_review
PO000334,CH002044,USR013844,2026-02-13,3918.85,approved
PO000431,CH002489,USR016736,2026-02-13,107.38,under_review
PO000462,CH002662,USR017880,2026-02-13,865.1,approved
PO000377,CH002222,USR015005,2026-02-15,2093.78,approved
PO000459,CH002642,USR017754,2026-02-15,1053.68,approved
PO000337,CH002051,USR013890,2026-02-16,4094.71,rejected
PO000444,CH002559,USR017139,2026-02-17,851.41,under_review
PO000346,CH002092,USR014184,2026-02-18,933.11,approved
PO000404,CH002375,USR016146,2026-02-18,2702.09,approved
PO000429,CH002481,USR016690,2026-02-18,839.17,approved
PO000420,CH002433,USR016428,2026-02-19,460.61,approved
PO000446,CH002566,USR017196,2026-02-19,3428.98,approved
PO000350,CH002095,USR014202,2026-02-20,2395.53,approved
PO000394,CH002314,USR015671,2026-02-21,3334.13,approved
PO000407,CH002389,USR016210,2026-02-22,1905.86,approved
PO000456,CH002630,USR017665,2026-02-22,773.43,under_review
PO000460,CH002661,USR017859,2026-02-22,151.7,approved
PO000466,CH002676,USR018000,2026-02-22,1002.33,approved
PO000447,CH002576,USR017280,2026-02-24,3849.89,approved
PO000452,CH002602,USR017451,2026-02-24,1535.32,approved
PO000465,CH002671,USR017967,2026-02-25,3328.54,approved
PO000399,CH002344,USR015963,2026-02-28,394.17,under_review
PO000414,CH002426,USR016415,2026-02-28,2995.7,approved
PO000363,CH002163,USR014609,2026-03-01,795.68,approved
PO000402,CH002350,USR015992,2026-03-01,384.13,rejected
PO000410,CH002394,USR016222,2026-03-01,463.64,approved
PO000385,CH002285,USR015496,2026-03-02,2241.54,approved
PO000427,CH002455,USR016550,2026-03-02,1043.42,approved
PO000450,CH002597,USR017391,2026-03-02,1715.52,under_review
PO000435,CH002514,USR016853,2026-03-03,2676.83,approved
PO000408,CH002389,USR016210,2026-03-04,2812.9,approved
PO000395,CH002314,USR015671,2026-03-05,3800.11,approved
PO000415,CH002426,USR016415,2026-03-07,1602.94,approved
PO000457,CH002630,USR017665,2026-03-08,562.02,approved
PO000451,CH002597,USR017391,2026-03-10,1278.68,approved
PO000461,CH002661,USR017859,2026-03-11,136.22,approved
PO000464,CH002667,USR017921,2026-03-13,1165.07,approved
PO000453,CH002602,USR017451,2026-03-16,1502.22,approved
PO000454,CH002607,USR017481,2026-03-18,2188.01,approved
PO000463,CH002664,USR017890,2026-03-19,850.55,approved
PO000437,CH002521,USR016885,2026-03-20,337.07,approved
PO000467,CH002676,USR018000,2026-03-21,775.9,rejected
PO000386,CH002285,USR015496,2026-03-24,2100.18,approved
PO000441,CH002551,USR017070,2026-03-25,1113.71,approved
PO000448,CH002593,USR017369,2026-03-25,4440.47,approved
PO000421,CH002433,USR016428,2026-03-27,673.98,approved
PO000449,CH002593,USR017369,2026-03-29,4765.0,approved
PO000455,CH002628,USR017652,2026-03-31,3888.94,approved
PO000442,CH002551,USR017070,2026-04-09,1038.07,approved
PO000416,CH002427,USR016415,2026-04-18,963.32,approved
PO000417,CH002427,USR016415,2026-05-23,1284.78,approved
PO000458,CH002638,USR017695,2026-05-23,1470.26,approved
PO000418,CH002427,USR016415,2026-06-01,1445.16,rejected
